transaction_id,customer_id,amount,transaction_type,transaction_date,status,segment,account_created_date,tx_hour,tx_day_of_week,account_age_days,is_high_value
1,65,1965.32,DEBIT,2026-01-03 05:21:01,PROCESSED,CORPORATE,2024-07-20,5,5,532,1
2,12,1288.62,TRANSFER,2025-09-12 22:44:44,PROCESSED,RETAIL,2022-04-06,22,4,1255,1
3,7,894.97,DEBIT,2025-09-06 04:50:35,PROCESSED,RETAIL,2023-12-04,4,5,642,1
4,79,102.16,DEBIT,2025-04-01 01:47:19,PROCESSED,SME,2024-04-25,1,1,341,0
5,17,2513.98,TRANSFER,2025-10-23 10:17:04,PROCESSED,RETAIL,2022-01-30,10,3,1362,1
6,3,1262.71,CREDIT,2025-10-31 17:25:44,PROCESSED,SME,2023-08-30,17,4,793,1
7,21,1062.78,DEBIT,2025-04-24 03:12:05,PROCESSED,CORPORATE,2024-01-30,3,3,450,1
8,41,1488.0,DEBIT,2026-02-06 22:11:19,PENDING,RETAIL,2023-10-21,22,4,839,1
9,15,475.47,TRANSFER,2025-03-03 20:03:55,PROCESSED,SME,2022-12-01,20,0,823,0
10,66,3265.77,CREDIT,2025-06-12 11:08:02,PROCESSED,CORPORATE,2024-06-02,11,3,375,1
11,94,3713.97,DEBIT,2025-04-04 12:44:43,PROCESSED,CORPORATE,2024-06-15,12,4,293,1
12,49,443.49,TRANSFER,2025-04-25 14:59:08,PROCESSED,CORPORATE,2022-03-15,14,4,1137,0
13,73,1893.8,TRANSFER,2025-07-12 07:37:35,PROCESSED,SME,2021-02-12,7,5,1611,1
14,35,2914.38,TRANSFER,2025-09-27 23:12:16,PROCESSED,SME,2025-02-12,23,5,227,1
15,13,466.85,TRANSFER,2025-10-11 04:55:27,PROCESSED,CORPORATE,2023-10-26,4,5,716,0
16,21,3466.46,DEBIT,2025-03-18 08:16:29,PROCESSED,CORPORATE,2024-01-30,8,1,413,1
17,3,1195.09,DEBIT,2025-12-15 16:40:48,PROCESSED,SME,2023-08-30,16,0,838,1
18,53,2674.57,TRANSFER,2025-02-15 15:25:45,PROCESSED,SME,2024-06-05,15,5,255,1
19,85,2219.37,TRANSFER,2025-06-21 20:52:35,PROCESSED,SME,2023-11-17,20,5,582,1
20,78,4409.72,CREDIT,2025-09-06 06:07:25,FAILED,SME,2021-07-22,6,5,1507,1
21,78,265.87,TRANSFER,2025-10-10 00:30:56,PROCESSED,SME,2021-07-22,0,4,1541,0
22,59,921.35,TRANSFER,2026-01-22 13:20:17,PROCESSED,RETAIL,2023-07-06,13,3,931,1
23,45,4980.69,TRANSFER,2025-08-14 23:39:35,PROCESSED,CORPORATE,2021-07-29,23,3,1477,1
24,39,672.95,TRANSFER,2025-12-20 04:43:43,PROCESSED,CORPORATE,2024-02-19,4,5,670,1
25,58,4408.62,DEBIT,2025-10-29 20:51:55,PROCESSED,CORPORATE,2024-08-27,20,2,428,1
26,36,4120.98,TRANSFER,2025-09-28 04:29:32,PROCESSED,CORPORATE,2022-08-10,4,6,1145,1
27,88,40.38,TRANSFER,2025-03-14 07:07:25,PENDING,RETAIL,2021-07-17,7,4,1336,0
28,11,4240.61,TRANSFER,2025-08-17 16:24:07,PROCESSED,RETAIL,2023-02-12,16,6,917,1
29,63,4109.5,DEBIT,2025-04-05 17:21:40,PROCESSED,SME,2021-04-24,17,5,1442,1
30,13,3314.75,DEBIT,2025-10-04 21:30:11,PROCESSED,CORPORATE,2023-10-26,21,5,709,1
31,99,2387.39,CREDIT,2025-03-19 13:19:49,PROCESSED,CORPORATE,2024-07-15,13,2,247,1
32,73,4763.74,CREDIT,2025-06-14 06:07:34,PROCESSED,SME,2021-02-12,6,5,1583,1
33,60,298.03,CREDIT,2025-05-23 08:34:57,PROCESSED,RETAIL,2024-02-05,8,4,473,0
34,37,1243.55,TRANSFER,2025-11-30 17:37:40,PROCESSED,RETAIL,2021-04-09,17,6,1696,1
35,40,995.35,DEBIT,2025-12-15 19:00:34,PROCESSED,SME,2023-09-17,19,0,820,1
36,100,1364.41,DEBIT,2025-09-08 20:35:14,FAILED,RETAIL,2023-08-11,20,0,759,1
37,100,1153.17,TRANSFER,2025-03-16 02:30:49,PROCESSED,RETAIL,2023-08-11,2,6,583,1
38,83,4560.08,CREDIT,2025-07-26 14:52:32,PROCESSED,CORPORATE,2023-09-18,14,5,677,1
39,60,2954.97,CREDIT,2025-05-13 04:42:40,PROCESSED,RETAIL,2024-02-05,4,1,463,1
40,66,2008.2,CREDIT,2025-11-27 13:32:39,PROCESSED,CORPORATE,2024-06-02,13,3,543,1
41,10,974.53,CREDIT,2025-11-21 17:47:30,PROCESSED,RETAIL,2021-10-27,17,4,1486,1
42,26,2030.17,TRANSFER,2025-12-14 18:53:13,FAILED,SME,2022-08-16,18,6,1216,1
43,8,3338.52,CREDIT,2025-10-15 08:52:53,PROCESSED,SME,2025-02-26,8,2,231,1
